ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"1531463","Test Case","Rates || Core Tariff A || PAYG || Roam Free",,,,"VF UK IT - CX and DC\Sphinx","Radwa Desouky <radwa.desouky@vodafone.com>","Passed"
,,,"1","Preconditions: You have to choose the country which is in Roam Free
""Zone"": ""Roam-free""(From attached file)  ","
",,,
,,,"2","Enter a valid request in the body and change these values
- tariffId = ""CORETARIFF_A"",
- @country = ","
",,,
,,,"3","Call API Rates roaming charges PAYG
  @URL
","The API Response should be returned 
{
    ""smsTag"": ""ROAMFREE"",
    ""row"": false
}
",,,
"1531552","Test Case","Rates || Core Tariff A || PAYG || RoW Flag is True || Rest of World Zone 1 ",,,,"VF UK IT - CX and DC\Sphinx","Radwa Desouky <radwa.desouky@vodafone.com>","Ready"
,,,"1","Preconditions: You have to choose the country which is in Rest of World Zone 1 ""isRoamFurther"": ""No"",""Zone"": ""Rest of World Zone 1"",""Zone2022"": ""RoW"",(From attached file)  ","
",,,
,,,"2","Enter a valid request in the body and change these values
- tariffId = ""CORETARIFF_A"",
- @country = ","
",,,
,,,"3","Call API Rates roaming charges PAYG
  @URL
","The API response should be returned 
{
 
  ""smsTag"" : ""STANDARD"",
   ""charges"" : {
    ""callOutbound"" : 
    ""callOutboundFormatted"" : ,
     ""sms"" : ,
     ""smsFormatted"" : 
     ""mms"" :
    ""mmsFormatted"" : ,
    ""data"" : 
   ""dataFormatted"" : ,
   ""callInbound"" : 
   ""callInboundFormatted"" :
  },
   ""row"" : true
 }
And must include the 
values ​​below
 {      ""Zone"": ""Rest of World Zone 1"",      ""Customer"": ""payg"",      ""Call:Roam-free"": ""100"",      ""Call:Rest of World Zone 1"": ""60"",      ""Call:Rest of World Zone 2"": ""150"",      ""Call:Rest of World Zone 3"": ""150"",      ""Call:Rest of World Zone 4"": ""150"",      ""Call:UK"": ""60"",      ""ReceiveCall"": ""36"",      ""SendSMSUK"": ""8"",      ""SendSMSRoamFree"": ""8"",      ""SendSMSRoW"": ""8"",      ""DataMB"": ""12"",      ""SendMMS"": ""66"",      ""MBBCharge"": ""2500"",      ""MBBPack"": ""2500"",    },",,,
"1531656","Test Case","Rates || Core Tariff A || PAYG || RoW Flag is True || Rest of World Zone 2",,,,"VF UK IT - CX and DC\Sphinx","Radwa Desouky <radwa.desouky@vodafone.com>","Ready"
,,,"1","Preconditions: You have to choose the country which is in Rest of World Zone 2 ""isRoamFurther"": ""No"", ""Zone"": ""Rest of World Zone 2"",""Zone2022"": ""RoW"",(From attached file)  ","
",,,
